case_id,open_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,close_date,target_close_date,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,submitted_photo,closed_photo,longitude,latitude
BCS-00109157,2025-10-29 17:11:51.7879+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Transitioned,Verizon communication cabinet,2025-10-30 11:56:40+00,2025-11-01 17:11:51.7879+00,ONTIME,BOS311,"566 Centre St, Boston, MA 02130",566,Centre St,2130.0,Jamaica Plain,2,6,9,E13,19.0,5.0,,,-71.11399656,42.31601072
BCS-00112470,2025-11-05 09:35:23.933+00,Tree or Stump Removal,Tree or Stump Removal,Parks & Recreation,Urban Forestry,Closed,Noted,"The new tree in question is under warranty by the planting contractor for two years from the date it was planted. All new trees are inspected every summer during the warranty period by a BPRD staff arborist to make sure they are alive and healthy. If they are found to be dead, they will be placed on the warranty replacement list for the contractor to replace in the next planting season. This tree is on the contractors list for replacement.",2025-11-05 12:46:09+00,2025-11-08 09:35:23.933+00,ONTIME,Call,"39 Zeller St, Boston, MA 02131",39,Zeller St,2131.0,Roslindale,6B,5,10,E5,20.0,1.0,,,-71.13645,42.292107
BCS-00095653,2025-09-29 18:03:01.334+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-02 18:03:01.334+00,OVERDUE,Call,"71 Bartlett St, Roxbury, MA 02119",71,Bartlett St,2119.0,Roxbury,10B,7,9,B2,9.0,4.0,,,-71.0897085,42.32925
BCS-00066224,2025-08-03 14:10:26.291+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,2025-08-03 15:00:08+00,2025-08-06 14:10:26.291+00,ONTIME,Call,"10 Gove St, East Boston, MA 02128",10,Gove St,2128.0,East Boston,9,1,1,A7,1.0,4.0,,,-71.038179,42.372279
BCS-00100818,2025-10-10 18:02:49.409+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-13 18:02:49.409+00,OVERDUE,Call,"380 Faneuil St, Brighton, MA 02135",380,Faneuil St,2135.0,Brighton,4,9,11,D14,22.0,7.0,,,-71.1659655,42.351597
BCS-00095669,2025-09-29 18:54:15.408+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-02 18:54:15.408+00,OVERDUE,Call,"973 Commonwealth Ave, Allston, MA 02215",973,Commonwealth Ave,2215.0,Allston,4,8,11,D14,21.0,2.0,,,-71.119692,42.352002
BCS-00093705,2025-09-25 10:06:16.885+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-09-28 10:06:16.885+00,OVERDUE,Call,"244 Chestnut Ave 1, Jamaica Plain, MA 02130",244,Chestnut Ave,2130.0,Jamaica Plain,2,6,9,E13,19.0,4.0,,,-71.10801,42.31395
BCS-00106458,2025-10-23 18:52:16.085+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-26 18:52:16.085+00,OVERDUE,Call,"12 Brookfield St, Boston, MA 02131",12,Brookfield St,2131.0,Roslindale,6B,5,10,E5,20.0,4.0,,,-71.1324585,42.287697
BCS-00099885,2025-10-08 20:09:58.305+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,,2025-10-11 20:09:58.305+00,OVERDUE,Call,"40 Mystic St, Charlestown, MA 02129",40,Mystic St,2129.0,Charlestown,1A,1,3,A15,2.0,5.0,,,-71.0624205,42.38037
BCS-00110795,2025-11-02 09:01:59.264021+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Noted,"Upon inspection, the tree meets city of boston pruning specifications. no work needed.",2025-11-05 12:46:03+00,2025-11-05 09:01:59.264021+00,OVERDUE,BOS311,"543 Talbot Ave, Boston, MA 02124",543,Talbot Ave,2124.0,Dorchester,7A,3,8,C11,16.0,3.0,,,-71.0649225,42.286482
BCS-00107351,2025-10-26 18:18:08.841151+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,,2025-10-29 18:18:08.841151+00,OVERDUE,BOS311,"81 Amory St, Boston, MA 02119",83,Amory St,2119.0,Jamaica Plain,10B,6,9,E13,11.0,4.0,,,-71.0995725,42.320241
BCS-00106588,2025-10-24 10:07:49.476+00,Street Light Knockdown,Street Light Knockdown,,,In progress,,,,2025-10-27 10:08:03.879467+00,OVERDUE,Call,"1134-1140 Washington St, Boston, MA 02118",,Washington St,2118.0,South End,1C,3,4,D4,3.0,16.0,,,-71.0659485,42.343947
